year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2017,Total Biomass,Boreal wet forest,140640362.21057904,5190377.072927469,27.096367033552585,"Modified Decay, Turnover and Spinup parameters"
2017,Total Biomass,Cool temperate moist forest,181335722.46167865,6692252.221012427,27.096367033555346,"Modified Decay, Turnover and Spinup parameters"
2017,Total Biomass,Cool temperate steppe,1128702.894133221,41655.13748523968,27.096367033554312,"Modified Decay, Turnover and Spinup parameters"
2017,Total Biomass,Cool temperate wet forest,4998354.997058277,184465.87289243154,27.096367033554177,"Modified Decay, Turnover and Spinup parameters"
2017,Total Biomass,Polar rain tundra,11232767.79524219,414548.85008504183,27.096367033554348,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Boreal wet forest,285445255.5805014,5190377.072927469,54.99509025449377,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Cool temperate moist forest,356821629.9508345,6692252.221012426,53.31861653846235,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Cool temperate steppe,2174496.436994884,41655.13748523968,52.20235889907716,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Cool temperate wet forest,9782515.635913268,184465.87289243154,53.03157425556863,"Modified Decay, Turnover and Spinup parameters"
2018,Deadwood,Polar rain tundra,23677802.685689203,414548.85008504183,57.11703863328017,"Modified Decay, Turnover and Spinup parameters"
2018,Litter,Boreal wet forest,96990513.6690839,5190377.072927469,18.686602592897827,"Modified Decay, Turnover and Spinup parameters"
2018,Litter,Cool temperate moist forest,118893924.28291674,6692252.221012426,17.76590605919065,"Modified Decay, Turnover and Spinup parameters"
2018,Litter,Cool temperate steppe,713434.3122716469,41655.13748523968,17.127162586474462,"Modified Decay, Turnover and Spinup parameters"
2018,Litter,Cool temperate wet forest,3250718.1536232894,184465.87289243154,17.62232819898831,"Modified Decay, Turnover and Spinup parameters"
2018,Litter,Polar rain tundra,8210906.467185789,414548.85008504183,19.806848976909183,"Modified Decay, Turnover and Spinup parameters"
2018,Soil Carbon,Boreal wet forest,341496231.0767894,5190377.072927469,65.79410826585267,"Modified Decay, Turnover and Spinup parameters"
2018,Soil Carbon,Cool temperate moist forest,432070620.2671996,6692252.221012426,64.56281174080354,"Modified Decay, Turnover and Spinup parameters"
2018,Soil Carbon,Cool temperate steppe,2651569.8302458357,41655.13748523968,63.65528936701765,"Modified Decay, Turnover and Spinup parameters"
2018,Soil Carbon,Cool temperate wet forest,11878431.561367407,184465.87289243154,64.39365382394679,"Modified Decay, Turnover and Spinup parameters"
2018,Soil Carbon,Polar rain tundra,27860607.459573586,414548.85008504183,67.20705522125601,"Modified Decay, Turnover and Spinup parameters"
2018,Total Biomass,Boreal wet forest,149317241.66409534,5190377.072927469,28.768091328647465,"Modified Decay, Turnover and Spinup parameters"
2018,Total Biomass,Cool temperate moist forest,192523323.08844367,6692252.221012426,28.76809132864961,"Modified Decay, Turnover and Spinup parameters"
2018,Total Biomass,Cool temperate steppe,1198338.7994829048,41655.13748523968,28.768091328651387,"Modified Decay, Turnover and Spinup parameters"
2018,Total Biomass,Cool temperate wet forest,5306731.078388881,184465.87289243154,28.768091328651455,"Modified Decay, Turnover and Spinup parameters"
2018,Total Biomass,Polar rain tundra,11925779.179433873,414548.85008504183,28.76809132865133,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Boreal wet forest,277350636.5816548,5190377.072927469,53.43554672131438,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Cool temperate moist forest,346158461.5793072,6692252.221012426,51.72525633335129,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Cool temperate steppe,2107147.371131208,41655.13748523968,50.58553394231064,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Cool temperate wet forest,9487620.303271327,184465.87289243154,51.43292986667452,"Modified Decay, Turnover and Spinup parameters"
2019,Deadwood,Polar rain tundra,23048356.08749856,414548.85008504183,55.598649188799705,"Modified Decay, Turnover and Spinup parameters"
2019,Litter,Boreal wet forest,98276443.16948879,5190377.072927469,18.934355209391182,"Modified Decay, Turnover and Spinup parameters"
2019,Litter,Cool temperate moist forest,120316353.38124949,6692252.221012426,17.978454697729195,"Modified Decay, Turnover and Spinup parameters"
2019,Litter,Cool temperate steppe,721404.0351388176,41655.13748523968,17.318488875338463,"Modified Decay, Turnover and Spinup parameters"
2019,Litter,Cool temperate wet forest,3288675.726259784,184465.87289243154,17.828098361465077,"Modified Decay, Turnover and Spinup parameters"
2019,Litter,Polar rain tundra,8333470.315611536,414548.85008504183,20.102504961482783,"Modified Decay, Turnover and Spinup parameters"
2019,Soil Carbon,Boreal wet forest,341413117.9563548,5190377.072927469,65.77809534053591,"Modified Decay, Turnover and Spinup parameters"
2019,Soil Carbon,Cool temperate moist forest,431970318.94175524,6692252.221012426,64.54782406219671,"Modified Decay, Turnover and Spinup parameters"
2019,Soil Carbon,Cool temperate steppe,2650953.651638803,41655.13748523968,63.64049698739219,"Modified Decay, Turnover and Spinup parameters"
2019,Soil Carbon,Cool temperate wet forest,11875739.676426979,184465.87289243154,64.37906096241518,"Modified Decay, Turnover and Spinup parameters"
2019,Soil Carbon,Polar rain tundra,27853097.4174671,414548.85008504183,67.18893904000271,"Modified Decay, Turnover and Spinup parameters"
2019,Total Biomass,Boreal wet forest,157304385.68831903,5190377.072927469,30.306928278641696,"Modified Decay, Turnover and Spinup parameters"
2019,Total Biomass,Cool temperate moist forest,202821608.08483684,6692252.221012426,30.306928278646577,"Modified Decay, Turnover and Spinup parameters"
2019,Total Biomass,Cool temperate steppe,1262439.2642022467,41655.13748523968,30.306928278644783,"Modified Decay, Turnover and Spinup parameters"
2019,Total Biomass,Cool temperate wet forest,5590593.979608545,184465.87289243154,30.30692827864488,"Modified Decay, Turnover and Spinup parameters"
2019,Total Biomass,Polar rain tundra,12563702.26752206,414548.85008504183,30.30692827864485,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Boreal wet forest,269785506.7456587,5190377.072927469,51.97801680976805,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Cool temperate moist forest,336206248.10862184,6692252.221012426,50.23813164916242,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Cool temperate steppe,2044350.3638736522,41655.13748523968,49.07798862980729,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Cool temperate wet forest,9212433.727539893,184465.87289243154,49.94112777116222,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Polar rain tundra,22459148.45573633,414548.85008504183,54.177326631418694,"Modified Decay, Turnover and Spinup parameters"
2020,Litter,Boreal wet forest,99458694.00687042,5190377.072927469,19.16213265614898,"Modified Decay, Turnover and Spinup parameters"
2020,Litter,Cool temperate moist forest,121633060.64857705,6692252.221012426,18.175205690346203,"Modified Decay, Turnover and Spinup parameters"
2020,Litter,Cool temperate steppe,728846.628346975,41655.13748523968,17.49716055085015,"Modified Decay, Turnover and Spinup parameters"
2020,Litter,Cool temperate wet forest,3323815.7837619237,184465.87289243154,18.018594613975868,"Modified Decay, Turnover and Spinup parameters"
2020,Litter,Polar rain tundra,8445828.147521226,414548.85008504183,20.37354137103172,"Modified Decay, Turnover and Spinup parameters"
2020,Soil Carbon,Boreal wet forest,341323521.0839012,5190377.072927469,65.76083322813162,"Modified Decay, Turnover and Spinup parameters"
